OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
18,3,27107,1380,877
21,4,75.6792,1230,877
21,3,67.0229,1230,877
21,3,65.7,1230,877
21,4,49.8531,1230,877
21,4,71.4563,1230,877
21,4,67.8438,1230,877
21,3,67.3458,1230,877
21,3,67.4958,1230,877
23,4,66.8417,1230,877
24,4,66.1417,1230,877
25,4,66.1708,1230,877
26,4,49.4297,1230,877
27,4,65.9979,1230,877
28,5,66.1917,1230,877
28,5,65.6708,1230,877
28,4,65.4875,1230,877
27,4,64.7417,1230,877
26,4,65.4208,1230,877
24,4,68.2458,1230,877
20,4,49.7062,1230,877
21,3,66.3208,1230,877
21,4,50.1312,1230,877
21,3,66.6188,1230,877
21,3,67.0042,1230,877
21,3,67.2562,1230,877
21,4,66.9875,1230,877
21,4,66.4542,1230,877
21,4,66.1,1230,877
21,3,66.3875,1230,877
21,3,49.8234,1230,877
21,4,65.5083,1230,877
23,4,64.7646,1230,877
23,3,69.9167,1230,877
22,3,67.675,1230,877
21,3,67.5146,1230,877
21,3,67.3063,1230,877
21,3,67.3833,1230,877
21,3,50.1344,1230,877
21,3,66.4292,1230,877
21,3,66.4792,1230,877
21,3,65.9917,1230,877
21,3,66.3917,1230,877
22,3,66.9167,1230,877
23,4,66.6562,1230,877
26,4,66.9375,1230,877
27,4,49.1391,1230,877
24,4,67.5292,1230,877
20,3,66.6479,1230,877
27,4,66.4729,1230,877
