OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
0,0,37.186,1230,877
91,15,95.117,1380,877
91,15,95.214,1380,877
91,15,95.796,1380,877
91,15,96.764,1380,877
91,15,96.958,1380,877
91,15,96.845,1380,877
91,15,96.57,1380,877
91,15,96.57,1380,877
91,15,96.57,1380,877
91,15,96.473,1380,877
91,15,96.183,1380,877
91,15,96.473,1380,877
91,15,96.086,1380,877
91,15,96.086,1380,877
91,15,95.892,1380,877
91,15,95.601,1380,877
91,15,95.698,1380,877
91,15,96.086,1380,877
91,15,95.892,1380,877
91,15,95.892,1380,877
91,15,97.055,1380,877
91,15,96.958,1380,877
91,15,97.118,1380,877
91,15,97.814,1380,877
91,15,97.926,1380,877
91,15,97.732,1380,877
91,15,97.539,1380,877
91,15,97.732,1380,877
91,15,97.732,1380,877
91,15,97.635,1380,877
91,15,97.539,1380,877
91,15,97.441,1380,877
91,15,97.344,1380,877
91,15,97.345,1380,877
91,15,97.345,1380,877
91,15,98.023,1380,877
91,15,98.217,1380,877
91,15,97.926,1380,877
91,15,98.12,1380,877
91,15,98.023,1380,877
91,15,98.085,1380,877
91,15,98.183,1380,877
91,15,98.314,1380,877
91,15,98.65,1380,877
91,15,97.732,1380,877
91,15,98.314,1380,877
91,15,96.473,1380,877
91,15,96.861,1380,877
91,15,97.248,1380,877
