==1365238== NVPROF is profiling process 1365238, command: /u/dssc/lleonvega/software/cuda-samples/Samples/3_CUDA_Features/cudaTensorCoreGemm/cudaTensorCoreGemm 500
==1365238== Profiling application: /u/dssc/lleonvega/software/cuda-samples/Samples/3_CUDA_Features/cudaTensorCoreGemm/cudaTensorCoreGemm 500
==1365238== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,B,KB,MB,GB/s,,,,,,,
1.554995,7.416560,,,,,,,,,,32.000000,4.213544,"Pageable","Device","Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",250
1.562635,6.965523,,,,,,,,,,32.000000,4.486382,"Pageable","Device","Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",251
1.569818,13.635912,,,,,,,,,,64.000000,4.583485,"Pageable","Device","Tesla V100-PCIE-32GB (0)","1","7","[CUDA memcpy HtoD]",252
1.583460,0.084223,,,,,,,,,,64.000000,742.077580,"Device",,"Tesla V100-PCIE-32GB (0)","1","7","[CUDA memset]",253
1.585171,6.145304,80,1,1,256,1,1,255,0,64.000000,,,,,"Tesla V100-PCIE-32GB (0)","1","14","compute_gemm(__half const *, __half const *, float const *, float*, float, float)",259
1.591894,6.166328,80,1,1,256,1,1,255,0,64.000000,,,,,"Tesla V100-PCIE-32GB (0)","1","14","compute_gemm(__half const *, __half const *, float const *, float*, float, float)",262
1.598622,6.165305,80,1,1,256,1,1,255,0,64.000000,,,,,"Tesla V100-PCIE-32GB (0)","1","14","compute_gemm(__half const *, __half const *, float const *, float*, float, float)",265
1.605351,6.164537,80,1,1,256,1,1,255,0,64.000000,,,,,"Tesla V100-PCIE-32GB (0)","1","14","compute_gemm(__half const *, __half const *, float const *, float*, float, float)",268
1.612093,6.166936,80,1,1,256,1,1,255,0,64.000000,,,,,"Tesla V100-PCIE-32GB (0)","1","14","compute_gemm(__half const *, __half const *, float const *, float*, float, float)",271
