OverallUsage(perc),OverallMemory(perc),OverallPower(W),ClockSM(MHz),ClockMEM(MHz)
19,7,103.963,1357,877
0,0,43.106,1357,877
22,8,42.524,1357,877
24,8,37.987,1230,877
24,8,99.709,1230,877
6,2,57.798,1230,877
1,0,38.569,1230,877
24,8,37.986,1230,877
24,8,37.872,1230,877
24,8,37.792,1230,877
16,5,125.589,1230,877
0,0,40.707,1230,877
18,6,37.986,1230,877
24,8,37.872,1230,877
24,8,37.792,1230,877
24,8,115.69,1230,877
0,0,47.348,1230,877
8,3,38.155,1230,877
24,8,37.792,1230,877
24,8,37.792,1230,877
24,8,65.189,1230,877
9,3,79.621,1230,877
0,0,39.25,1230,877
24,8,37.817,1230,877
24,8,37.78,1230,877
24,8,37.683,1230,877
20,6,121.221,1230,877
0,0,43.495,1230,877
14,5,37.889,1230,877
24,8,37.793,1230,877
24,8,37.696,1230,877
24,8,98.453,1230,877
3,1,57.72,1230,877
4,1,38.375,1230,877
24,8,37.792,1230,877
24,8,37.695,1230,877
24,8,37.695,1230,877
13,4,117.549,1230,877
0,0,40.415,1230,877
21,7,37.792,1230,877
24,8,37.695,1230,877
24,8,37.598,1230,877
22,7,113.856,1230,877
0,0,48.446,1230,877
12,4,37.889,1230,877
24,8,37.683,1230,877
24,8,37.599,1230,877
24,8,76.759,1230,877
5,2,72.006,1230,877
3,1,38.855,1230,877
